Samples    E_ads_eV    bulk_nnd_Ang    site_nnd_Ang    r_d_Ang    V_ad^2    CN    site_no    epsilon_d_eV    W_d_eV    S_d_eV    K_d_eV    W_eV    IP_eV    EA_eV    f_d    f_sp    PE    DOS_d_eV^(-1)    DOS_sp_eV^(-1)  
OH_AgPd_211_hcp-s-2   0.584   2.874   2.866   0.923   2.607   7.667   3   -2.026   1.214   1.576   12.415   4.949   8.083   0.809   9.584   0.803   2.11   0.379   0.179   
OH_Ru_211_bridge1-t   0.071   2.732   2.71   1.05   3.87   9.5   2   -1.356   2.163   0.405   3.281   4.889   7.361   1.046   7.071   0.925   2.2   1.335   0.133   
OH_AgAu_211_fcc-s-1   0.786   2.987   2.965   0.93   2.623   8.333   3   -3.679   1.18   2.18   14.835   4.712   8.126   1.639   9.786   1.136   2.133   0.056   0.239   
OH_Au@Ni_211_bridge2-t-1   0.071   2.502   2.511   0.71   1.16   9.0   2   -1.22   1.787   2.526   16.583   4.945   7.64   1.157   8.699   1.261   1.91   2.0   0.145   
OH_Pt@Rh_211_bridge1-s-1   0.477   2.786   2.723   1.015   3.61   8.0   2   -1.755   2.081   1.467   8.301   5.414   8.209   1.634   8.326   1.062   2.28   1.499   0.175   
OH_AgPd_211_bridge3-s-2   0.727   2.902   2.872   0.915   2.52   8.5   2   -2.376   1.204   1.598   11.249   4.819   7.957   0.933   9.657   0.875   2.065   0.272   0.166   
OH_Cu_211_top-t   0.64   2.603   2.581   0.67   1.0   9.0   1   -2.39   1.117   2.175   17.144   4.719   7.726   1.236   9.681   1.238   1.9   0.105   0.239   
OH_Au@Ni_211_top-s-1   0.98   2.99   2.983   1.01   3.35   10.0   1   -3.455   1.525   2.612   13.326   5.28   9.226   2.309   9.565   1.159   2.54   0.197   0.21   
OH_Cu_211_fcc-t   0.426   2.603   2.593   0.67   1.0   9.667   3   -2.439   1.127   2.038   15.569   4.719   7.726   1.236   9.697   1.272   1.9   0.104   0.229   
OH_Ag@Cu_211_top-t-2   0.651   2.603   2.573   0.67   1.0   9.0   1   -2.411   1.108   1.956   15.386   4.719   7.726   1.236   9.752   1.236   1.9   0.106   0.243   
OH_Ir_211_hcp-t   1.147   2.753   2.728   1.08   4.45   9.333   3   -2.013   2.697   0.721   4.475   5.489   9.121   1.564   7.69   1.316   2.2   1.287   0.114   
OH_Ir_100_bridge   -0.159   2.753   2.718   1.08   4.45   8.0   2   -1.797   2.5   0.501   4.194   5.756   9.121   1.564   7.701   1.235   2.2   1.195   0.194   
OH_Au_211_bridge2-s   0.742   2.99   2.936   1.01   3.35   7.0   2   -3.127   1.323   1.431   10.044   5.28   9.226   2.309   9.732   1.2   2.54   0.079   0.26   
OH_Pd_110_shortbridge   0.384   2.819   2.784   0.94   2.78   7.0   2   -1.499   1.253   0.507   5.241   5.008   8.337   0.562   9.42   0.678   2.2   2.368   0.103   
OH_Ni_111_bridge   0.016   2.502   2.496   0.71   1.16   9.0   2   -1.3   1.56   1.694   10.733   5.291   7.64   1.157   8.659   1.251   1.91   1.902   0.148   
OH_Pd@Ir_211_bridge3-s-1   0.465   2.786   2.769   1.01   3.615   8.5   2   -2.044   2.161   0.663   5.349   5.35   8.729   1.063   8.458   1.072   2.2   1.035   0.14   
OH_Rh_211_bridge2-s   -0.39   2.734   2.694   0.99   3.32   7.0   2   -1.293   2.099   1.886   11.48   5.078   7.459   1.143   7.969   0.987   2.28   2.07   0.24   
OH_Ag_111_bridge   0.632   2.985   2.98   0.89   2.26   9.0   2   -4.122   0.941   2.136   15.042   4.61   7.576   1.304   9.793   1.148   1.93   0.043   0.309   
OH_Ag@Cu_211_hcp-t-2   0.317   2.603   2.591   0.67   1.0   9.333   3   -2.427   1.088   1.721   13.933   4.719   7.726   1.236   9.734   1.257   1.9   0.105   0.24   
OH_Cu_211_fcc-s   0.08   2.603   2.573   0.67   1.0   8.333   3   -2.355   1.063   1.935   15.964   4.719   7.726   1.236   9.692   1.202   1.9   0.1   0.247   
OH_PtRh_211_bridge1-t-2   0.842   2.786   2.779   1.015   3.61   9.5   2   -1.793   2.259   1.499   8.764   5.414   8.209   1.634   8.319   1.194   2.28   1.857   0.12   
OH_Ru_211_top-t   0.347   2.732   2.696   1.05   3.87   9.0   1   -1.365   2.135   0.378   3.207   4.889   7.361   1.046   7.066   0.902   2.2   1.312   0.143   
OH_PtRh_211_bridge1-s-3   0.542   2.786   2.749   1.015   3.61   8.0   2   -1.722   2.106   1.39   8.563   5.414   8.209   1.634   8.378   1.108   2.28   1.942   0.17   
OH_Au_211_bridge3-s   1.011   2.99   2.967   1.01   3.35   8.5   2   -3.223   1.395   1.453   9.599   5.28   9.226   2.309   9.714   1.257   2.54   0.088   0.237   
OH_Cu_211_top-s   0.305   2.603   2.556   0.67   1.0   7.0   1   -2.283   0.955   1.454   13.628   4.719   7.726   1.236   9.717   1.129   1.9   0.09   0.264   
OH_AgAu_211_bridge3-s-1   0.843   2.988   2.958   0.95   2.805   8.5   2   -3.568   1.23   2.163   14.797   4.854   8.401   1.807   9.762   1.191   2.235   0.059   0.26   
OH_Pt_211_top-s   0.538   2.838   2.781   1.04   3.9   7.0   1   -1.894   1.89   0.785   5.806   5.75   8.959   2.125   8.815   1.102   2.28   1.72   0.176   
OH_Ni_211_bridge3-s   0.036   2.502   2.484   0.71   1.16   8.5   2   -1.231   1.769   2.678   17.366   4.945   7.64   1.157   8.821   1.232   1.91   1.786   0.169   
OH_Au@Ni_211_fcc-t-2   0.362   2.502   2.491   0.71   1.16   9.667   3   -1.294   1.878   2.634   16.344   4.945   7.64   1.157   8.711   1.304   1.91   1.864   0.124   
OH_Pd@Ir_211_bridge1-t-2   0.712   2.753   2.739   1.08   4.45   9.5   2   -1.975   2.671   0.738   4.615   5.489   9.121   1.564   7.689   1.31   2.2   1.336   0.122   
OH_Au_211_top-t   1.397   2.99   2.982   1.01   3.35   9.0   1   -3.21   1.433   1.474   9.625   5.28   9.226   2.309   9.726   1.281   2.54   0.097   0.233   
OH_Au_211_bridge2-t   1.217   2.99   2.982   1.01   3.35   9.0   2   -3.21   1.432   1.472   9.618   5.28   9.226   2.309   9.733   1.281   2.54   0.097   0.233   
OH_Pd_211_fcc-t   0.971   2.819   2.82   0.94   2.78   9.667   3   -1.715   1.405   0.682   4.968   5.21   8.337   0.562   9.265   0.804   2.2   2.178   0.115   
