Samples    E_ads_eV    bulk_nnd_Ang    site_nnd_Ang    r_d_Ang    V_ad^2    CN    site_no    epsilon_d_eV    W_d_eV    S_d_eV    K_d_eV    W_eV    IP_eV    EA_eV    f_d    f_sp    PE    DOS_d_eV^(-1)    DOS_sp_eV^(-1)  
CO_Au_211_bridge1-t   2.735   2.99   2.99   1.01   3.35   9.5   2   -3.264   1.449   1.473   9.383   5.28   9.226   2.309   9.72   1.297   2.54   0.098   0.223   
CO_Ag@Cu_211_bridge1-s-2   2.085   2.603   2.578   0.67   1.0   8.0   2   -2.358   0.999   1.243   12.338   4.719   7.726   1.236   9.758   1.211   1.9   0.096   0.271   
CO_Pd@Ir_211_bridge1-t-1   1.189   2.753   2.735   1.08   4.45   9.5   2   -1.956   2.667   0.739   4.645   5.489   9.121   1.564   7.7   1.302   2.2   1.372   0.125   
CO_Au@Ni_211_bridge1-s-3   0.962   2.502   2.469   0.71   1.16   8.0   2   -1.214   1.751   2.529   16.736   4.945   7.64   1.157   8.74   1.223   1.91   1.989   0.179   
CO_Pd_211_top-s   1.234   2.819   2.79   0.94   2.78   7.0   1   -1.501   1.244   0.602   5.728   5.21   8.337   0.562   9.334   0.683   2.2   2.147   0.15   
CO_Au@Ni_211_fcc-t-2   1.115   2.502   2.491   0.71   1.16   9.667   3   -1.294   1.878   2.634   16.344   4.945   7.64   1.157   8.711   1.304   1.91   1.864   0.124   
CO_Pd_211_fcc-s   0.859   2.819   2.803   0.94   2.78   8.333   3   -1.59   1.329   0.592   5.089   5.21   8.337   0.562   9.303   0.743   2.2   2.269   0.133   
CO_Ag@Cu_211_top-s-1   2.265   2.985   2.95   0.89   2.26   9.0   1   -4.141   1.131   3.339   20.245   4.427   7.576   1.304   9.785   0.887   1.93   0.043   0.259   
CO_Ag_211_bridge2-s   2.462   2.985   2.946   0.89   2.26   7.0   2   -4.008   0.934   2.823   21.91   4.427   7.576   1.304   9.856   1.051   1.93   0.031   0.29   
CO_Ni_211_top-s   0.911   2.502   2.464   0.71   1.16   7.0   1   -1.152   1.645   2.703   18.317   4.945   7.64   1.157   8.858   1.14   1.91   1.888   0.218   
CO_Ru_211_top-s   0.742   2.732   2.683   1.05   3.87   7.0   1   -1.159   1.939   0.391   3.926   4.889   7.361   1.046   7.152   0.808   2.2   1.745   0.269   
CO_Pd_211_top-t   1.346   2.819   2.809   0.94   2.78   9.0   1   -1.635   1.372   0.587   4.769   5.21   8.337   0.562   9.286   0.773   2.2   2.325   0.125   
CO_Pt@Rh_211_bridge1-s-2   1.012   2.734   2.705   0.99   3.32   8.0   2   -1.381   2.229   1.826   10.886   5.078   7.459   1.143   7.909   1.064   2.28   2.023   0.185   
CO_Ag@Cu_211_bridge2-s-2   1.84   2.603   2.552   0.67   1.0   7.0   2   -2.316   0.977   1.235   12.981   4.719   7.726   1.236   9.796   1.173   1.9   0.089   0.29   
CO_Rh_211_hcp-s   0.763   2.734   2.698   0.99   3.32   7.667   3   -1.359   2.184   1.889   11.239   5.078   7.459   1.143   7.937   1.025   2.28   1.994   0.206   
