Samples    E_ads_eV    bulk_nnd_Ang    site_nnd_Ang    r_d_Ang    V_ad^2    CN    site_no    epsilon_d_eV    W_d_eV    S_d_eV    K_d_eV    W_eV    IP_eV    EA_eV    f_d    f_sp    PE    DOS_d_eV^(-1)    DOS_sp_eV^(-1)    
O_Au@Ni_211_hcp-t-2   0.439   2.502   2.495   0.71   1.16   9.333   3   -1.268   1.839   2.59   16.407   4.945   7.64   1.157   8.709   1.284   1.91   1.915   0.134   
O_IrRu_211_hcp-t-1   0.458   2.739   2.716   1.06   4.063   9.333   3   -1.603   2.444   0.593   4.399   5.089   7.948   1.219   7.23   1.072   2.2   1.521   0.133   
O_Ru_211_fcc-s   0.25   2.732   2.692   1.05   3.87   8.333   3   -1.296   2.07   0.383   3.447   4.889   7.361   1.046   7.095   0.871   2.2   1.457   0.185   
O_Ag_211_fcc-t   1.89   2.985   2.98   0.89   2.26   9.667   3   -4.062   1.129   3.195   22.848   4.427   7.576   1.304   9.842   1.186   1.93   0.041   0.268   
O_Ag@Cu_211_hcp-t-1   1.056   2.603   2.602   0.67   1.0   9.333   3   -2.429   1.061   1.457   12.641   4.719   7.726   1.236   9.728   1.272   1.9   0.104   0.245   
O_PtRh_211_hcp-s-1   0.755   2.769   2.744   1.007   3.513   7.667   3   -1.549   2.078   1.371   8.771   5.302   7.959   1.47   8.258   1.115   2.28   2.082   0.188   
O_Ag@Cu_211_hcp-s-2   0.817   2.603   2.559   0.67   1.0   7.667   3   -2.348   1.021   1.475   13.783   4.719   7.726   1.236   9.782   1.194   1.9   0.094   0.274   
O_Au_211_hcp-s   2.464   2.99   2.951   1.01   3.35   7.667   3   -3.155   1.359   1.444   9.9   5.28   9.226   2.309   9.734   1.227   2.54   0.085   0.251   
O_Pt@Rh_211_fcc-t-1   0.867   2.734   2.727   0.99   3.32   9.667   3   -1.484   2.446   1.978   11.2   5.078   7.459   1.143   7.849   1.141   2.28   1.818   0.117   
O_Ir_211_fcc-t   1.179   2.753   2.741   1.08   4.45   9.667   3   -2.0   2.712   0.747   4.601   5.489   9.121   1.564   7.699   1.323   2.2   1.311   0.106   
O_Rh_211_hcp-s   0.337   2.734   2.698   0.99   3.32   7.667   3   -1.359   2.184   1.889   11.239   5.078   7.459   1.143   7.937   1.025   2.28   1.994   0.206   
O_IrRu_211_fcc-s-2   0.411   2.739   2.701   1.06   4.063   8.333   3   -1.531   2.352   0.573   4.588   5.089   7.948   1.219   7.234   1.027   2.2   1.702   0.184   
O_Pd@Ir_211_fcc-t-1   1.16   2.753   2.741   1.08   4.45   9.667   3   -1.974   2.689   0.75   4.659   5.489   9.121   1.564   7.696   1.311   2.2   1.347   0.117   
O_PtRh_211_hcp-t-2   1.632   2.803   2.773   1.023   3.707   9.333   3   -1.966   2.213   1.456   8.274   5.526   8.459   1.798   8.449   1.158   2.28   1.796   0.119   
O_Pt@Rh_211_hcp-s-2   0.395   2.734   2.698   0.99   3.32   7.667   3   -1.359   2.192   1.837   11.014   5.078   7.459   1.143   7.921   1.038   2.28   2.064   0.199   
O_Rh_211_fcc-s   0.571   2.734   2.703   0.99   3.32   8.333   3   -1.426   2.27   1.892   10.993   5.078   7.459   1.143   7.906   1.063   2.28   1.918   0.171   
O_Pd_211_fcc-s   1.231   2.819   2.803   0.94   2.78   8.333   3   -1.59   1.329   0.592   5.089   5.21   8.337   0.562   9.303   0.743   2.2   2.269   0.133   
O_Pd@Ir_211_hcp-t-2   1.139   2.753   2.729   1.08   4.45   9.333   3   -1.978   2.712   0.788   4.826   5.489   9.121   1.564   7.678   1.305   2.2   1.326   0.121   
O_Ag_211_hcp-t   2.058   2.985   2.976   0.89   2.26   9.333   3   -4.047   1.126   3.305   24.126   4.427   7.576   1.304   9.841   1.167   1.93   0.04   0.275   
O_IrRu_211_fcc-t-1   0.887   2.746   2.725   1.07   4.257   9.667   3   -1.777   2.517   0.766   4.709   5.289   8.534   1.391   7.43   1.177   2.2   1.283   0.134   
O_Au_211_fcc-s   2.479   2.99   2.967   1.01   3.35   8.333   3   -3.182   1.396   1.458   9.76   5.28   9.226   2.309   9.734   1.254   2.54   0.091   0.242   
O_AgAu_211_fcc-s-2   2.347   2.988   2.954   0.97   2.987   8.333   3   -3.482   1.262   2.073   14.173   4.996   8.676   1.974   9.754   1.223   2.337   0.066   0.268   
O_Pd_211_hcp-s   1.319   2.819   2.796   0.94   2.78   7.667   3   -1.545   1.287   0.597   5.407   5.21   8.337   0.562   9.319   0.712   2.2   2.211   0.141   
O_Ag@Cu_211_fcc-s-2   0.86   2.603   2.576   0.67   1.0   8.333   3   -2.375   1.035   1.481   13.354   4.719   7.726   1.236   9.756   1.219   1.9   0.099   0.262   
O_Ru_111_fcc   -0.071   2.732   2.71   1.05   3.87   9.0   3   -1.32   2.085   0.338   3.171   5.266   7.361   1.046   7.072   0.888   2.2   2.108   0.216   
O_Ni_211_fcc-t   0.453   2.502   2.496   0.71   1.16   9.667   3   -1.29   1.865   2.639   16.464   4.945   7.64   1.157   8.784   1.308   1.91   1.78   0.128   
O_Ni_211_hcp-s   -0.068   2.502   2.47   0.71   1.16   7.667   3   -1.2   1.701   2.672   17.722   4.945   7.64   1.157   8.842   1.186   1.91   1.883   0.194   
O_Rh_211_hcp-t   0.693   2.734   2.716   0.99   3.32   9.333   3   -1.494   2.387   1.923   10.835   5.078   7.459   1.143   7.865   1.115   2.28   1.819   0.127   
O_Ir_211_fcc-s   0.799   2.753   2.709   1.08   4.45   8.333   3   -1.919   2.605   0.689   4.572   5.489   9.121   1.564   7.721   1.278   2.2   1.354   0.167   
O_Pd_111_fcc   1.131   2.819   2.82   0.94   2.78   9.0   3   -1.614   1.339   0.576   4.833   5.422   8.337   0.562   9.32   0.765   2.2   2.114   0.127   
O_Ni_110_shortbridge   0.318   2.502   2.462   0.71   1.16   7.0   2   -1.198   1.668   2.732   18.494   4.733   7.64   1.157   8.773   1.121   1.91   2.17   0.181   
O_Pt_100_hollow   1.782   2.838   2.828   1.04   3.9   8.0   4   -1.841   1.864   0.654   5.256   5.881   8.959   2.125   8.857   1.119   2.28   1.686   0.152   
O_Ir_110_shortbridge   0.054   2.753   2.691   1.08   4.45   7.0   2   -1.804   2.47   0.688   4.986   5.208   9.121   1.564   7.741   1.183   2.2   1.807   0.245   
O_Ir_211_bridge2-s   -0.048   2.753   2.699   1.08   4.45   7.0   2   -1.706   2.442   0.66   4.932   5.489   9.121   1.564   7.8   1.214   2.2   1.538   0.258   
O_Ag@Cu_211_bridge2-s-1   1.73   2.794   2.757   0.78   1.63   8.0   2   -3.229   1.054   2.287   16.613   4.573   7.651   1.27   9.791   1.03   1.915   0.066   0.274   
O_IrRu_211_fcc-s-1   0.602   2.746   2.698   1.07   4.257   8.333   3   -1.694   2.404   0.728   4.801   5.289   8.534   1.391   7.456   1.118   2.2   1.556   0.229   
O_Pd@Ir_211_fcc-s-1   0.821   2.775   2.747   1.033   3.893   8.333   3   -1.997   2.273   0.653   5.014   5.396   8.86   1.23   8.196   1.139   2.2   1.148   0.152   
O_Pt_111_fcc   1.418   2.838   2.838   1.04   3.9   9.0   3   -1.944   1.98   0.835   5.62   5.922   8.959   2.125   8.832   1.181   2.28   1.733   0.107   
O_Pt_110_shortbridge   1.268   2.838   2.775   1.04   3.9   7.0   2   -1.882   1.911   0.735   5.687   5.549   8.959   2.125   8.894   1.081   2.28   2.378   0.241   
O_AgAu_211_hcp-t-1   2.58   2.988   2.969   0.97   2.987   9.333   3   -3.564   1.316   2.077   13.572   4.996   8.676   1.974   9.74   1.266   2.337   0.072   0.249   
O_Ni_211_hcp-t   0.403   2.502   2.489   0.71   1.16   9.333   3   -1.28   1.837   2.625   16.521   4.945   7.64   1.157   8.791   1.292   1.91   1.847   0.136   
O_Au@Ni_211_fcc-s-2   0.2   2.502   2.483   0.71   1.16   8.333   3   -1.218   1.763   2.529   16.689   4.945   7.64   1.157   8.723   1.235   1.91   1.988   0.167   
O_Pt@Rh_211_fcc-t-2   0.799   2.734   2.722   0.99   3.32   9.667   3   -1.497   2.45   2.016   11.326   5.078   7.459   1.143   7.841   1.123   2.28   1.822   0.115   
O_Cu_211_fcc-s   0.873   2.603   2.573   0.67   1.0   8.333   3   -2.355   1.063   1.935   15.964   4.719   7.726   1.236   9.692   1.202   1.9   0.1   0.247   
O_AgPd_211_hcp-t-1   1.713   2.874   2.88   0.923   2.607   9.333   3   -2.108   1.318   1.526   10.879   4.949   8.083   0.809   9.551   0.885   2.11   0.394   0.16   
O_Cu_211_hcp-t   1.108   2.603   2.587   0.67   1.0   9.333   3   -2.415   1.122   2.107   16.356   4.719   7.726   1.236   9.687   1.255   1.9   0.105   0.234   
O_AgAu_211_hcp-s-2   2.252   2.987   2.951   0.93   2.623   7.667   3   -3.638   1.138   2.156   15.106   4.712   8.126   1.639   9.796   1.107   2.133   0.051   0.253   
O_Ir_211_hcp-s   0.509   2.753   2.704   1.08   4.45   7.667   3   -1.813   2.522   0.671   4.737   5.489   9.121   1.564   7.761   1.246   2.2   1.446   0.213   
